state,value
Alabama,4833722
Alaska,735132
Arizona,6626624
Arkansas,2959373
California,38332521
Colorado,5268367
Connecticut,3596080
Delaware,925749
District of Columbia,646449
Florida,19552860
Georgia,9992167
Hawaii,1404054
Idaho,1612136
Illinois,12882135
Indiana,6570902
Iowa,3090416
Kansas,2893957
Kentucky,4395295
Louisiana,4625470
Maine,1328302
Maryland,5928814
Massachusetts,6692824
Michigan,9895622
Minnesota,5420380
Mississippi,2991207
Missouri,6044171
Montana,1015165
Nebraska,1868516
Nevada,2790136
New Hampshire,1323459
New Jersey,8899339
New Mexico,2085287
New York,19651127
North Carolina,9848060
North Dakota,723393
Ohio,11570808
Oklahoma,3850568
Oregon,3930065
Pennsylvania,12773801
Rhode Island,1051511
South Carolina,4774839
South Dakota,844877
Tennessee,6495978
Texas,26448193
Utah,2900872
Vermont,626630
Virginia,8260405
Washington,6971406
West Virginia,1854304
Wisconsin,5742713
Wyoming,582658
Puerto Rico Commonwealth,3615086